Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Fecha,Prueba,Piscina,M_F,Competicion,Lugar,Edad,Temporada,Time_stamp
1,"RODRIGUEZ SOLANAS, Ines",13,E.M. El Olivar,3:09.28,198,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:09.280
2,"MALO SANCHEZ, Paula",13,C.N. Helios,3:19.02,170,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:19.020
3,"ESCORIHUELA AZNAR, Claudia",13,E.M. El Olivar,3:19.03,170,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:19.030
4,"MARTIN SORIA, Claudia",13,Stadium Venecia,3:21.40,164,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:21.400
5,"MALON CANTIN, Sofia",13,C.N. Helios,3:22.41,162,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:22.410
6,"DEL BARRIO MIGUEL, Vera",13,Stadium Venecia,3:25.59,154,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:25.590
7,"LEAL PELEGRIN, Julieta",13,E.M. El Olivar,3:27.29,151,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:27.290
8,"GIMENO GOMEZ, YaretziIzel",13,P. San Agustin,3:37.95,130,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:37.950
9,"ZAPATA FERNANDEZ, Jara",13,Stadium Venecia,3:40.15,126,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:40.150
10,"RODRIGO LORENTE, Claudia",13,Stadium Venecia,3:45.31,117,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:45.310
11,"SALUEÑA LUCHA, Vera",13,C.N. Helios,3:46.28,116,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:46.280
12,"MARTINEZ MARQUES, Aimar Teresa",13,Stadium Venecia,3:50.00,110,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:50.000
13,"REMACHA ROYO, Itziar",13,E.M. El Olivar,3:53.44,105,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:03:53.440
14,"GALAY TORRIJO, Celia",13,Stadium Venecia,4:10.22,85,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:04:10.220
15,"GARCIA RODRIGUEZ, Aroa",13,C.N. Helios,4:17.98,78,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:04:17.980
16,"PEREZ BOSQUED, Nuria",13,Stadium Venecia,4:26.37,71,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:04:26.370
17,"SEGURA GRACIA, Silvia",13,E.M. El Olivar,4:29.52,68,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:04:29.520
18,"ROLDAN POZO, Adriana",13,P. San Agustin,4:36.51,63,2022-05-22,200m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,9,2021-2022,1900-01-01 00:04:36.510
1,"CASTILLO PRADO, Neus",12,E.M. El Olivar,6:08.06,256,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:06:08.060
2,"LAMBAN GAVE, Ines",12,P. San Agustin,6:11.94,248,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:06:11.940
3,"IOVU, Mireya",12,P. San Agustin,6:17.60,237,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:06:17.600
4,"BERGES ALAEZ, Africa",12,E.M. El Olivar,6:30.84,214,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:06:30.840
5,"SIMON HEREDIA, Ariadna",12,E.M. El Olivar,6:31.51,213,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:06:31.510
6,"ALBAR LABRADOR, Pilar",12,E.M. El Olivar,7:00.12,172,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:07:00.120
7,"RAZABAL INGELMO, Naiara",12,E.M. El Olivar,7:03.57,168,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:07:03.570
8,"BARRACHINA ARTAZCOZ, Nahia",12,E.M. El Olivar,7:07.62,163,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:07:07.620
9,"IRIMIA MICU, Paula Raisa",12,P. San Agustin,7:08.59,162,2022-05-22,400m Libre,25m,F,"Benjamín, jornada 7",C.N. Helios,10,2021-2022,1900-01-01 00:07:08.590
