"10/07","/2022","","","","","Re","sultados"
"RECO","RD ABSOLUTO","1:01.1","8
TRIVIÑO MACHIN, JORGE","00114
S","ABADELL","","18/12/2016"
"MEJOR","MARCA","1:16.4","2
TRIVIÑO MACHIN, ANGEL","00114
Z","ARAGOZA","","03/12/2005"
"Clasificación","","AN","","Tiempo","PUNTOS","50m","100m"
"1.","RAMOS OLMOS, Diego","10","P. San Agustin","1:29.70","36,00","42.67","47.03"
"2.","ROCA MASIA, Nil","10","C.P. Fraga","1:30.48","34,00","42.60","47.88"
"3.","PETISME ROYO, Lucas","10","E.M. El Olivar","1:32.52","32,00","43.16","49.36"
"4.","RAMOS OLMOS, Marcos","10","P. San Agustin","1:34.25","30,00","44.32","49.93"
"5.","AGON LOPEZ, Javier","10","Stadium Casablanca","1:39.50","28,00","47.41","52.09"
"6.","MOSTEO HIDALGO, Carlos","10","E.M. El Olivar","1:40.70","27,00","45.70","55.00"
"7.","GREGORIO FERNANDEZ, En","rique","P. San Agustin","1:41.39","26,00","48.00","53.39"
"8.","BERDEJO LOBERA, Guillermo","10","E.M. El Olivar","1:41.53","25,00","48.47","53.06"
"9.","SHAPOVAL, Maksym","10","Stadium Venecia","1:43.81","24,00","49.47","54.34"
"10.","BARRIENDOS ZAMORA, Saul","10","C.N. Helios","1:44.29","23,00","50.07","54.22"
"11.","VARGAS CIRUELOS, Carlos N","icola","s
E.M. El Olivar","1:45.12","22,00","50.38","54.74"
"12.","MARTIN FERNANDEZ, Leo","10","E.M. El Olivar","1:45.84","21,00","48.72","57.12"
"13.","RAZABAL INGELMO, Angel","10","E.M. El Olivar","1:47.47","20,00","52.28","55.19"
"14.","SANCHEZ MERCADO, Adrian","10","Stadium Casablanca","1:47.78","19,00","52.06","55.72"
"15.","JIMENEZ LAFUENTE, Daniel","10","C.N. Helios","1:50.76","18,00","51.26","59.50"
"16.","VICENTE BARRA, Guillen","10","H2ogo C.N.","1:52.57","17,00","52.70","59.87"
"17.","RUBIO RAKITIN, Larion Franci","sco10","C.N. Helios","1:52.80","16,00","54.51","58.29"
"18.","ESTAUN LOPEZ, Marcos","10","C.N. Helios","1:54.03","15,00","54.32","59.71"
"19.","NEVADO PEREZ, Lorien","10","C.N. Helios","2:07.75","14,00","1:01.38","1:06.37"
"20.","SANCHEZ DUARTE, Rodrigo","10","Stadium Venecia","2:23.32","13,00","1:06.60","1:16.72"
"Baja enf.","TELLO GRACIA, Aaron","10","C.N. Helios","","-","",""
