0,1,2,3,4,5
Baja enf.,"CAGIGOS RIVERA, Leo",12,Stadium Casablanca,,
Prueba,5,Mas,"c., 50m Mariposa",,12 años
21/01/,2023,,,,Resultados
Puntos: FIN,A 2022,,,,
Clasificación,,AN,,Tiempo,Pts
1.,"LOPEZ VELEZ, Marcos",11,E.M. El Olivar,34.67,246
2.,"MARCO LOPEZ, Leo",11,C.N. Helios,34.78,244
3.,"RODRIGUEZ ARTIEDA, Marcelo",11,C.N. Helios,35.22,235
4.,"SERRABLO HUESO, Diego",11,Stadium Venecia,37.03,202
5.,"SANCHO GRAUS, Bruno",11,E.M. El Olivar,38.23,184
6.,"POLO MARTINEZ, Nicolas",11,C.N. Helios,39.15,171
7.,"ANGUAS FELIZ, Aquiles",11,E.M. El Olivar,39.30,169
8.,"MODREGO MARQUETA, Alejandro",11,Stadium Venecia,39.56,166
9.,"BELTRAN VIEJO, Arturo",11,E.M. El Olivar,41.28,146
10.,"ANTONENKO ANTONENKO, Yehor",11,H2ogo C.N.,41.75,141
11.,"LAFUENTE GARCIA, Victor",11,C.N. Helios,41.81,140
12.,"CAVERO GARCIA, Daniel",11,Stadium Casablanca,41.95,139
13.,"TATARU, Adrian Stefan",11,E.M. El Olivar,45.02,112
14.,"FANDOS MARCO, Carlos",11,E.M. El Olivar,45.54,108
15.,"BEAMONTE MARTIN, Diego",11,P. San Agustin,45.59,108
16.,"MARTINEZ ANTUNEZ, Roman",11,Stadium Venecia,46.95,99
17.,"NAVARRO PARDOS, Francisco",11,H2ogo C.N.,48.31,91
18.,"GARCIA DE LA SERNA, Alejandro",11,C.N. Helios,48.54,89
19.,"PELEGRIN RUIZ, Raul",11,C.N. Helios,49.31,85
20.,"BORROY SANCHEZ, Martin",11,Stadium Casablanca,51.86,73
21.,"LANUZA DIAZ, Eduardo",11,P. San Agustin,54.20,64
22.,"ABAD PELLEJERO, Pablo",11,Stadium Casablanca,56.51,57
DSQ,"QUINTANILLA CARBAJO, Amaro",11,H2ogo C.N.,,
